record_id,title,authors,year,source_database,doi_or_arxiv_id,venue,publication_type,peer_reviewed_guess,publication_status,url,query_id,abstract,abstract_source,language,language_flag,tier,reason
R-00003,VC-MARAG: Visual-Context Augmented Retrieval and Multi-agent Collaborative Generation for VQA,Chen Y.,2027,Scopus,10.1007/978-981-92-2856-0_43,Lecture Notes in Computer Science,Conference Paper,VERIFY,NOT YET OFFICIALLY PUBLISHED (dated 2027) — REVIEW: cite only if you accept a forthcoming/online-first reference,https://api.elsevier.com/content/abstract/scopus_id/105046301089,BASE; GAP-ORCH,"Multimodal Knowledge Retrieval is critical for Knowledge-based Visual Question Answering (KB-VQA). Traditional dense retrieval methods often suffer from fine-grained information loss by compressing multimodal inputs into single vectors. Furthermore, single-model generation approaches struggle to balance visual understanding and complex reasoning. We propose VC-MARAG (Visual-Context Augmented Retrieval and Multi-Agent Collaborative Generation) to improve performance on VQA. First, we introduce VC-FLMR , a strategy that explicitly augments queries with generated visual captions and tags to bridge the semantic gap. By integrating this visual context into the Fine-grained Late-interaction Multi-modal Retriever (FLMR), our method preserves precise visual and textual details, significantly improving retrieval recall. Second, we design a Multi-Agent Collaboration system comprising Vision, Reasoning, and Decision agents. This system synergizes specialized capabilities to process retrieved knowledge and visual inputs, employing dynamic decision strategies for robust answer generation. Experiments demonstrate that VC-MARAG achieves state-of-the-art performance, reaching accuracies of 59.9% on EVQA (+9.7%), 77.1% on OK-VQA (+8.8%), and 44.5% on Infoseek (+1.0%), significantly outperforming existing baselines.",Springer,en,,D,no RAG anchor in title or abstract
R-00005,Towards Graph-Based Code Generation: Competition-Level Coding Agents with Graph-Based Reasoning and Backtracking,Zhu H.,2027,Scopus,10.1007/978-981-92-2856-0_32,Lecture Notes in Computer Science,Conference Paper,VERIFY,NOT YET OFFICIALLY PUBLISHED (dated 2027) — REVIEW: cite only if you accept a forthcoming/online-first reference,https://api.elsevier.com/content/abstract/scopus_id/105046334418,BASE; GAP-ORCH,"Large Language Models (LLMs) have demonstrated impressive performance in code generation tasks. While prior studies have leveraged prompting techniques and multi-agent collaboration to enhance LLM code generation capabilities, challenges persist in addressing complex programming problems. In this paper, we propose GramCoder, a multi-agent framework for competition-level code generation that models the reasoning process produced by LLMs when solving competitive programming problems as an inference graph, where nodes represent hierarchical solutions at different levels of abstraction and edges denote their derivation relationships. GramCoder contains two specialized agents: Generator and Doctor . The Generator progressively constructs multi-level solutions, from abstract analysis and coarse-grained strategies to fine-grained implementation solutions and executable code, while incorporating adaptive retrieval at each stage. The Doctor performs multi-level refinement and backtracking across the inference graph, diagnosing reasoning or implementation errors and revisiting earlier stages when necessary to ensure correctness and efficiency. Experimental results on multiple benchmarks with both closed-source and open-source LLMs demonstrate that GramCoder consistently outperforms existing approaches, achieving state-of-the-art performance in competitive programming tasks.",Springer,en,,D,no RAG anchor in title or abstract
R-00007,ST-KAG: Dynamic Knowledge Graph Reasoning for Pollution Source Tracing in Plain River Networks,Chen L.,2027,Scopus,10.1007/978-981-92-3391-5_37,Lecture Notes in Computer Science,Conference Paper,VERIFY,NOT YET OFFICIALLY PUBLISHED (dated 2027) — REVIEW: cite only if you accept a forthcoming/online-first reference,https://api.elsevier.com/content/abstract/scopus_id/105046412089,BASE,"Pollution source tracing in plain river networks is complicated by frequent gate and pump operations that reverse flow directions, causing geographic upstream to diverge from actual hydrodynamic upstream. Existing approaches, including inverse modeling, graph-based transport methods, and KG-augmented reasoning, rely on static topology and misidentify pollution sources under flow reversal. We propose ST-KAG, a spatio-temporal knowledge graph augmented generation framework that embeds real-time physical constraints into knowledge graph reasoning. ST-KAG consists of three modules: (1) a hydrodynamics-driven knowledge graph that dynamically updates edge directions and weights based on hydraulic head differences and gate/pump states; (2) a physically-constrained retrieval operator that embeds newly observed anomalous stations online under a semi-inductive formulation and ranks candidates through a multiplicative score of semantic similarity, physical reachability, and temporal decay; (3) a ReAct-based tracing agent that eliminates candidates through deterministic physical rules with hydrological query tools, producing interpretable evidence chains. Experiments on the Wuxi-WaterHalu dataset show that ST-KAG achieves Hits@1 of 76.2% and MRR of 0.836, outperforming the best baseline by 7.8 percentage points (pp) in Hits@1. Under flow reversal, ST-KAG’s Hits@1 drops by only 9.6 pp versus 21.0–30.0 pp for baselines. These results confirm the effectiveness of embedding real-time physical constraints for pollution source tracing in hydraulically complex river networks.",Springer,en,,D,no RAG anchor in title or abstract
R-00008,Reflect-SQL: A Self-reflection Based Framework for Text-to-SQL,Jain A.,2027,Scopus,10.1007/978-981-92-2014-4_7,Lecture Notes in Computer Science,Conference Paper,VERIFY,NOT YET OFFICIALLY PUBLISHED (dated 2027) — REVIEW: cite only if you accept a forthcoming/online-first reference,https://api.elsevier.com/content/abstract/scopus_id/105045968990,BASE,"Democratizing data access through natural language is a crucial goal for modern enterprises, but the practical adoption of Text-to-SQL is critically hindered by real-world complexities: 1. Obscure and large database schemas, 2. Ineffective retrieval of relevant tables and columns due to structured setting of schemas and vague user query, 3. Generation of syntactically or logically flawed SQL due to a lack of robust validation and correction mechanism. To address these systemic challenges, we introduce Reflect-SQL, a novel framework for Text to SQL, grounded in multi-stage self-reflection approach to develop understanding of obscure schema using a knowledge base, setup a process for effective retrieval and system to generate syntactically/semantically SQL. Instead of a single-pass attempt, our system employs an LLM-as-a-judge driven scoring mechanism within interconnected feedback loops to iteratively refine the results at every stage. A feedback-driven retrieval loop refines the user’s natural language query, while a synthesis loop validates and corrects the SQL and finally, an entailment loop optimizes the end-to-end process and continuously enriches the knowledge base. By integrating these layers of reflection, Reflect-SQL bridges the critical gap between user intent and complex data. On the challenging BIRD benchmark, our framework achieves an execution accuracy of 72.03%, significantly outperforming state-of-the-art baselines, demonstrating a major leap in reliability for enterprise applications.",Springer,en,,D,no RAG anchor in title or abstract
R-00010,Qualitative Contributions of DSAiVE—AI-Driven Hierarchical Literature Review on Sustainable Fuels,Pinto Oliveira J.,2027,Scopus,10.1007/978-3-032-32026-1_40,Lecture Notes in Networks and Systems,Conference Paper,VERIFY,NOT YET OFFICIALLY PUBLISHED (dated 2027) — REVIEW: cite only if you accept a forthcoming/online-first reference,https://api.elsevier.com/content/abstract/scopus_id/105046836575,BASE,"While quantitative metrics often validate the accuracy of artificial intelligence (AI) in systematic literature reviews (SLRs), they fail to capture its qualitative utility as a decision-support tool. This article presents a qualitative analysis of the Dynamic Systematic AI Vector Engine (DSAiVE), a framework designed to synthesize multidisciplinary research on sustainable fuels. Through the analysis of a corpus of 478 engineering article abstracts and 118 expert validations, we assess the framework's ability to move beyond simple binary keyword filtering. Results indicate that while AI-generated scores correlate with human judgment on core topics, the AI captures a “long tail” of contextual relevance often discarded by human reviewers. However, user feedback reveals a critical dichotomy: high trust in the AI’s ability to summarize provided content, contrasted with significant hallucinations when generating external “State of the Art” references. This validates the theoretical view of LLMs as “stochastic parrots” that require strict structural constraints to function in high-stakes domains. This paper contributes a validated qualitative baseline for building reliable information support systems in complex decision-making, arguing that AI should not be viewed as an oracle, but as a “wide-angle” semantic engine guided by researcher-defined anchors. Starting from a narrow goal of synthesizing information on sustainable fuels, it lays the groundwork for a controlled and analyzable core AI engine.",Springer,en,,D,no RAG anchor in title or abstract
R-00012,LLaVA-Med V1.6: Swift Training of a Biomedical-Focused Language-and-Vision Model,Bojja R.,2027,Scopus,10.1007/978-3-032-32483-2_17,Lecture Notes in Networks and Systems,Conference Paper,VERIFY,NOT YET OFFICIALLY PUBLISHED (dated 2027) — REVIEW: cite only if you accept a forthcoming/online-first reference,https://api.elsevier.com/content/abstract/scopus_id/105047045700,BASE,"Recent advances in large language models (LLMs) have markedly improved natural-language comprehension, yet biomedical applications require systems capable of processing both textual and visual data. Generic vision-language models rarely contain sufficient biomedical knowledge. We present LLaVA-Med V1.6, a fast, reliable, and cost-efficient approach for training a biomedical vision-language conversational assistant that accurately answers questions about medical images. The model leverages a large PubMed Central (PMC) figure-caption dataset and uses GPT-4 to create self-supervised instruction data. Built upon the general-domain LLaVA V1.6 architecture, it completes training on four A6000 GPUs in under 2.5 h, producing a multimodal model that delivers clear, precise biomedical visual answers. LLaVA-Med V1.6 outperforms prior supervised systems across three benchmark biomedical VQA datasets, providing a scalable foundation for advanced conversational AI in biomedicine.",Springer,en,,D,no RAG anchor in title or abstract
R-00014,Large language model with retrieval semantics for cold-start recommendations,Wu Z.,2027,Scopus,10.1016/j.neunet.2026.109401,Neural Networks,Article,VERIFY,NOT YET OFFICIALLY PUBLISHED (dated 2027) — REVIEW: cite only if you accept a forthcoming/online-first reference,https://api.elsevier.com/content/abstract/scopus_id/105045430388,BASE,"The item cold-start problem remains a major challenge in recommender systems. Existing approaches struggle with three limitations: semantic bias caused by new items that fall outside the pre-training corpus, semantic sparsity caused by limited item attributes, and the absence of interactions, which creates a behavioral gap. To address these challenges, we propose a method called Large Language Model with Retrieval Semantics (LaReS). First, to reduce semantic bias, we introduce self-retrieval contextualization, which retrieves semantically similar warm items as auxiliary knowledge sources. This mechanism grounds cold items in reliable contexts and helps the model infer more reliable item characteristics from warm-item neighbors. Second, to enrich sparse semantics, we propose a large language model-based semantic encoding strategy that transforms augmented textual information into dense, task-specific embeddings. A frozen large language model (LLM) and trainable semantic layers capture deep semantic features beyond simple metadata. Third, to bridge the interaction gap, we implement a joint preference learning framework through multi-objective optimization. This approach distills preference signals from warm items and aligns latent distributions, granting cold items visibility comparable to established items. Experiments and analyses show that LaReS achieves competitive performance in both cold-start and overall recommendation scenarios. For example, LaReS improves cold-start P@5 on MovieLens by 7.98%. The code is available at https://github.com/wuzelong/LaReS.",Semantic Scholar,en,,D,no RAG anchor in title or abstract
R-00016,HyperDistill: Structure-Aware Budgeted Evidence Distillation for Hypergraph Multi-Hop Question Answering,Chen H.,2027,Scopus,10.1007/978-981-92-3435-6_34,Lecture Notes in Computer Science,Conference Paper,VERIFY,NOT YET OFFICIALLY PUBLISHED (dated 2027) — REVIEW: cite only if you accept a forthcoming/online-first reference,https://api.elsevier.com/content/abstract/scopus_id/105046954791,BASE,"Hypergraph retrieval preserves multi-hop structure, but the retrieved sub-hypergraph must still be linearized before generation. Under limited budgets, this conversion can dilute bridge evidence and waste prompt space. HyperDistill addresses this step with budgeted structural selection over a retrieved sub-hypergraph using pre-filtering, query-aware unit scoring, soft evidence aggregation, and two-track serialization. On a matched 1000-query HotpotQA slice, HyperDistill reaches 45.89% EM / 58.34% F1 and the best token-normalized efficiency among the matched post-retrieval methods ( 25.92 F1 per 1 k prompt tokens). It remains competitive with a stronger ColBERT-inspired rerank baseline (46.99/58.59) while cutting end-to-end latency by 69.2% and improving final evidence coverage from 64.66% to 76.18% over Semantic Top-K. Under a shared 1800-token budget on 300 queries, it also outperforms Semantic Top-K, the ColBERT-inspired rerank baseline, and LLMLingua. Under a richer-context full pipeline, however, the gain contracts to near-neutral (49.35/62.97 vs.\ 49.50/63.27), placing HyperDistill in the budget-constrained post-retrieval regime rather than as a universal full-system improvement.",Springer,en,,D,no RAG anchor in title or abstract
R-00019,FACTOR: Financial Analysis and Consistency-Testing Oriented Representation,Li D.,2027,Scopus,10.1007/978-981-92-1926-1_27,Lecture Notes in Computer Science,Conference Paper,VERIFY,NOT YET OFFICIALLY PUBLISHED (dated 2027) — REVIEW: cite only if you accept a forthcoming/online-first reference,https://api.elsevier.com/content/abstract/scopus_id/105044149364,BASE,"Automated analysis and fact verification of financial reports face significant challenges due to their highly bimodal (charts and text) nature and the difficulty of ensuring computational rigor and logical consistency. Existing methods struggle to balance chart data precision with capturing implicit text correlations, limiting accuracy. We propose FACTOR, a novel bimodal semantic extraction and knowledge graph (KG)-constrained verification framework. FACTOR employs a Heterogeneous Dual-Channel Semantic Modeling mechanism, parsing structural information from charts visually and extracting semantic units from text linguistically, achieving knowledge fusion via cross-modal alignment. Subsequently, the framework constructs a multi-layer financial KG to support consistency verification. In the verification phase, FACTOR introduces KG-constrained semantic reasoning and consistency checking, using knowledge-constrained context augmentation and logical traceability for robust multi-source fact verification. On a test set of financial reports, our FACTOR framework achieves an F1-score of 0.96 in semantic extraction (a 35% improvement over baselines) and an F1-score of 0.98 in fact verification. These results demonstrate FACTOR’s high precision and robustness, providing a new paradigm for trustworthy, efficient financial intelligent analysis.",Springer,en,,D,no RAG anchor in title or abstract
R-00020,EOPD-SR: Entity-Ontology and Path-Dependency Subgraph Retrieval for Knowledge Graph—Augmented Reasoning,Xue J.,2027,Scopus,10.1007/978-3-032-31404-8_7,Lecture Notes in Computer Science,Conference Paper,VERIFY,NOT YET OFFICIALLY PUBLISHED (dated 2027) — REVIEW: cite only if you accept a forthcoming/online-first reference,https://api.elsevier.com/content/abstract/scopus_id/105047063132,BASE; GAP-POSTRET,"Knowledge graphs (KGs) offer structured facts for grounding large language models (LLMs), yet KG-augmented question answering critically depends on retrieving a compact, query-relevant subgraph that preserves the correct multi-hop reasoning chain. Existing subgraph retrievers often (i) underutilize ontological semantics (e.g., types, attributes, and textual descriptions), treating entities mainly as topological nodes, and (ii) score candidate paths independently, ignoring inter-path dependencies such as shared intermediates and mutually constraining relations. We propose Entity-Ontology and Path-Dependency Subgraph Retrieval (EOPD-SR), which builds ontology-enriched entity representations by fusing textual embeddings with ontological features, and models path dependencies via a Relation-Dependent Graph Attention Network (RDGAT). Starting from topic entities, EOPD-SR conducts top- K beam search to enumerate candidate relation paths, followed by a Sentence-Transformer reranker to maximize query–path semantic alignment. The resulting subgraph provides faithful evidence for downstream LLM-based answering. Experiments on WebQSP and CWQ show that EOPD-SR consistently outperforms eight representative baselines, improving the strongest baseline by +1.7/+1.8 Hits@1/F1 on WebQSP and +2.8/+0.6 Hits@1/F1 on CWQ.",Springer,en,,D,no RAG anchor in title or abstract
