database,query_id,search_string_verbatim,fields_searched,date_range_filter,date_run,hits_returned,records_retrieved,notes
Google Scholar,BASE,"(""retrieval-augmented generation"" OR ""RAG"") AND (""graph RAG"" OR ""agentic RAG"" OR ""modular RAG"" OR indexing OR chunking OR ""vector database"" OR reranking OR architecture OR pipeline OR evaluation)","All fields (Google Scholar default), via SerpAPI",2020 - present,2026-08-28,2460,40,STOPPED — SerpAPI returned: Google hasn't returned any results for this query.
IEEE Xplore,BASE,"(""retrieval-augmented generation"" OR ""RAG"") AND (""graph RAG"" OR ""agentic RAG"" OR ""multimodal RAG"" OR indexing OR chunking OR ""vector database"" OR reranking OR architecture OR pipeline OR evaluation OR governance)",All metadata (querytext),2020 - present,2026-08-31,3549,3549,IEEE Xplore API.
OpenAlex,BASE,"(""retrieval-augmented generation"" OR ""RAG"") AND (""graph RAG"" OR ""agentic RAG"" OR ""multimodal RAG"" OR ""advanced RAG"" OR ""modular RAG"" OR indexing OR chunking OR database OR ""graph database"" OR ""vector database"" OR reranking OR retrieval OR generation OR architecture OR pipeline OR evaluation OR governance)",Title and abstract (title_and_abstract.search),2020 - present,2026-08-31,33834,33861,OpenAlex. Broad index spanning most publishers including ACM and IEEE.
Scopus,BASE,"TITLE-ABS-KEY((""retrieval-augmented generation"" OR ""RAG"") AND (""graph RAG"" OR ""agentic RAG"" OR ""multimodal RAG"" OR ""advanced RAG"" OR ""modular RAG"" OR indexing OR chunking OR database OR ""graph database"" OR ""vector database"" OR reranking OR retrieval OR generation OR architecture OR pipeline OR evaluation OR governance))",TITLE-ABS-KEY,2020 - present,2026-08-28,13396,5000,"TRUNCATED AT SCOPUS API CEILING: the search endpoint refuses start > 5000, so only the 5000 most relevant of 13396 hits could be retrieved. hits_returned is the true total; the shortfall is an API limit, not a screening decision."
Semantic Scholar,BASE,"(""retrieval-augmented generation"" | ""RAG"") + (""graph RAG"" | ""agentic RAG"" | ""multimodal RAG"" | ""advanced RAG"" | ""modular RAG"" | indexing | chunking | database | ""graph database"" | ""vector database"" | reranking | retrieval | generation | architecture | pipeline | evaluation | governance)",Title and abstract (bulk search endpoint),2020 - present,2026-08-28,17644,17644,"Semantic Scholar bulk search. Boolean syntax: + = AND, | = OR."
arXiv,BASE,"(all:""retrieval-augmented generation"" OR all:""RAG"") AND (all:""graph RAG"" OR all:""agentic RAG"" OR all:""multimodal RAG"" OR all:""advanced RAG"" OR all:""modular RAG"" OR all:indexing OR all:chunking OR all:database OR all:""graph database"" OR all:""vector database"" OR all:reranking OR all:retrieval OR all:generation OR all:architecture OR all:pipeline OR all:evaluation OR all:governance)",All fields (all:) + submittedDate range,2020 - present,2026-08-28,6780,6780,arXiv API. Preprint server — expect high preprint proportion.
Google Scholar,GAP-POSTRET,"(""retrieval-augmented generation"" OR ""RAG"") AND (reranking OR reranker OR ""cross-encoder"" OR ""context compression"" OR ""prompt compression"" OR repacking OR ""passage reranking"")","All fields (Google Scholar default), via SerpAPI",2020 - present,2026-08-28,2110,65,"CAPPED AT 65 of ~2110 Scholar hits — SerpAPI free plan is 250 searches/month and each page of 20 costs one. Scholar's total is an unstable estimate, not a reproducible count."
IEEE Xplore,GAP-POSTRET,"(""retrieval-augmented generation"" OR ""RAG"") AND (reranking OR reranker OR ""cross-encoder"" OR ""context compression"" OR ""passage reranking"")",All metadata (querytext),2020 - present,2026-08-31,200,200,IEEE Xplore API.
OpenAlex,GAP-POSTRET,"(""retrieval-augmented generation"" OR ""RAG"") AND (reranking OR reranker OR ""cross-encoder"" OR ""bi-encoder"" OR monoT5 OR RankGPT OR ""listwise reranking"" OR ""context compression"" OR ""prompt compression"" OR repacking OR ""passage reranking"")",Title and abstract (title_and_abstract.search),2020 - present,2026-08-31,1425,1424,OpenAlex API. Broad index spanning most publishers including ACM and IEEE. Reported count drifts during cursor paging; retrieved figure is the authoritative one.
Scopus,GAP-POSTRET,"TITLE-ABS-KEY((""retrieval-augmented generation"" OR ""RAG"") AND (reranking OR reranker OR ""cross-encoder"" OR ""bi-encoder"" OR monoT5 OR RankGPT OR ""listwise reranking"" OR ""context compression"" OR ""prompt compression"" OR repacking OR ""passage reranking""))",TITLE-ABS-KEY,2020 - present,2026-08-28,480,480,Scopus API. Requires institutional network access.
Semantic Scholar,GAP-POSTRET,"(""retrieval-augmented generation"" | ""RAG"") + (reranking | reranker | ""cross-encoder"" | ""bi-encoder"" | monoT5 | RankGPT | ""listwise reranking"" | ""context compression"" | ""prompt compression"" | repacking | ""passage reranking"")",Title and abstract (bulk search endpoint),2020 - present,2026-08-28,763,763,"Semantic Scholar bulk search. Boolean syntax: + = AND, | = OR."
arXiv,GAP-POSTRET,"(all:""retrieval-augmented generation"" OR all:""RAG"") AND (all:reranking OR all:reranker OR all:""cross-encoder"" OR all:""bi-encoder"" OR all:monoT5 OR all:RankGPT OR all:""listwise reranking"" OR all:""context compression"" OR all:""prompt compression"" OR all:repacking OR all:""context curation"" OR all:""passage reranking"")",All fields (all:) + submittedDate range,2020 - present,2026-08-28,379,379,arXiv API. Preprint server — expect high preprint proportion.
Google Scholar,GAP-ORCH,"(""retrieval-augmented generation"" OR ""RAG"") AND (""agentic RAG"" OR ""Self-RAG"" OR ""corrective RAG"" OR ""adaptive retrieval"" OR ""query routing"" OR orchestration OR ""multi-agent"")","All fields (Google Scholar default), via SerpAPI",2020 - present,2026-08-28,17500,40,STOPPED — SerpAPI returned: Google hasn't returned any results for this query.
IEEE Xplore,GAP-ORCH,"(""retrieval-augmented generation"" OR ""RAG"") AND (""agentic RAG"" OR ""adaptive retrieval"" OR ""query routing"" OR orchestration OR ""multi-agent"")",All metadata (querytext),2020 - present,2026-08-31,672,672,IEEE Xplore API.
OpenAlex,GAP-ORCH,"(""retrieval-augmented generation"" OR ""RAG"") AND (""agentic RAG"" OR ""Self-RAG"" OR ""corrective RAG"" OR ""adaptive retrieval"" OR ""query routing"" OR ""adaptive RAG"" OR orchestration OR ""multi-agent"" OR ""self-reflection"" OR ""iterative retrieval"" OR ""active retrieval"")",Title and abstract (title_and_abstract.search),2020 - present,2026-08-31,4518,4524,OpenAlex. Broad index spanning most publishers including ACM and IEEE.
Scopus,GAP-ORCH,"TITLE-ABS-KEY((""retrieval-augmented generation"" OR ""RAG"") AND (""agentic RAG"" OR ""Self-RAG"" OR ""corrective RAG"" OR ""adaptive retrieval"" OR ""query routing"" OR ""adaptive RAG"" OR orchestration OR ""multi-agent"" OR ""iterative retrieval"" OR ""active retrieval""))",TITLE-ABS-KEY,2020 - present,2026-08-28,1562,1562,Scopus API. Requires institutional network access.
Semantic Scholar,GAP-ORCH,"(""retrieval-augmented generation"" | ""RAG"") + (""agentic RAG"" | ""Self-RAG"" | ""corrective RAG"" | ""adaptive retrieval"" | ""query routing"" | ""adaptive RAG"" | orchestration | ""multi-agent"" | ""self-reflection"" | ""iterative retrieval"" | ""active retrieval"")",Title and abstract (bulk search endpoint),2020 - present,2026-08-28,2160,2160,"Semantic Scholar bulk search. Boolean syntax: + = AND, | = OR."
arXiv,GAP-ORCH,"(all:""retrieval-augmented generation"" OR all:""RAG"") AND (all:""agentic RAG"" OR all:""Self-RAG"" OR all:""corrective RAG"" OR all:CRAG OR all:""adaptive retrieval"" OR all:""query routing"" OR all:""adaptive RAG"" OR all:orchestration OR all:""multi-agent"" OR all:""self-reflection"" OR all:""iterative retrieval"" OR all:""active retrieval"")",All fields (all:) + submittedDate range,2020 - present,2026-08-28,942,942,arXiv API. Preprint server — expect high preprint proportion.
Google Scholar,GAP-GOV,"(""retrieval-augmented generation"" OR ""RAG"") AND (""access control"" OR ""prompt injection"" OR provenance OR audit OR governance OR poisoning OR ""data leakage"")","All fields (Google Scholar default), via SerpAPI",2020 - present,2026-08-28,18100,33,"CAPPED AT 33 of ~18100 Scholar hits — SerpAPI free plan is 250 searches/month and each page of 20 costs one. Scholar's total is an unstable estimate, not a reproducible count."
IEEE Xplore,GAP-GOV,"(""retrieval-augmented generation"" OR ""RAG"") AND (""access control"" OR ""prompt injection"" OR provenance OR governance OR compliance OR privacy)",All metadata (querytext),2020 - present,2026-08-31,924,924,IEEE Xplore API.
OpenAlex,GAP-GOV,"(""retrieval-augmented generation"" OR ""RAG"") AND (""access control"" OR ""permission-aware"" OR ""prompt injection"" OR provenance OR ""audit trail"" OR auditability OR governance OR ""knowledge base poisoning"" OR ""data leakage"" OR multi-tenant OR compliance OR privacy)",Title and abstract (title_and_abstract.search),2020 - present,2026-08-31,5975,5982,OpenAlex. Broad index spanning most publishers including ACM and IEEE.
Scopus,GAP-GOV,"TITLE-ABS-KEY((""retrieval-augmented generation"" OR ""RAG"") AND (""access control"" OR ""permission-aware"" OR ""prompt injection"" OR provenance OR ""audit trail"" OR auditability OR governance OR ""knowledge base poisoning"" OR ""data leakage"" OR multi-tenant OR compliance OR privacy))",TITLE-ABS-KEY,2020 - present,2026-08-28,1778,1778,Scopus API. Requires institutional network access.
Semantic Scholar,GAP-GOV,"(""retrieval-augmented generation"" | ""RAG"") + (""access control"" | ""permission-aware"" | ""prompt injection"" | provenance | ""audit trail"" | auditability | governance | ""knowledge base poisoning"" | ""data leakage"" | multi-tenant | compliance | privacy)",Title and abstract (bulk search endpoint),2020 - present,2026-08-28,2482,2482,"Semantic Scholar bulk search. Boolean syntax: + = AND, | = OR."
arXiv,GAP-GOV,"(all:""retrieval-augmented generation"" OR all:""RAG"") AND (all:""access control"" OR all:""permission-aware"" OR all:""prompt injection"" OR all:provenance OR all:""audit trail"" OR all:auditability OR all:governance OR all:""knowledge base poisoning"" OR all:""data leakage"" OR all:multi-tenant OR all:compliance OR all:""regulated domain"" OR all:privacy)",All fields (all:) + submittedDate range,2020 - present,2026-08-28,903,903,arXiv API. Preprint server — expect high preprint proportion.
